first_name,surname,email.x,role,gender,country,citizenship,affiliation,report,email.y
Marcos,Costa,NA,LA,M,Brazil,Brazil,The Federal University of Viçosa,AR6-WG1,NA
Margot,Hurlbert,NA,RE,F,Canada,Canada,University of Regina,AR6-WG2,NA
Maria,Tirado,NA,LA,F,USA,Spain,University of California Los Angeles,AR6-WG2,NA
Maria Fernanda,Lemos,NA,CLA,F,Brazil,Brazil,Pontifical Catholic University of Rio de Janeiro,AR6-WG2,NA
Maria Isabel,Serrano Diná,NA,RE,F,Dominican Republic,Dominican Republic,"Pontificia Universidad Catolica, Madre y Maestra",AR6-WG3,NA
María José,Lopez Blanco,NA,RE,F,Spain,Spain,Gauss International Consulting,AR6-WG3,NA
Maria Silvia,Muylaert De Araujo,NA,LA,F,Brazil,Brazil,Housing Company of Rio de Janeiro State.,AR6-WG2,NA
Mariama,Williams,NA,LA,F,Switzerland,Jamaica,South Centre,AR6-WG3,NA
Mariana,Moncassim Vale,NA,LA,F,Brazil,Brazil,Federal University of Rio de Janeiro,AR6-WG2,NA
Marie-fanny,Racault,NA,LA,F,UK,UK,"School of Environmental Sciences, University of East Anglia",AR6-WG2,NA
Marjolijn,Haasnoot,NA,Author,F,Netherlands,Netherlands,Deltares,AR6-WG2,NA
Mark,Costello,NA,Lead,M,Norway,Ireland,Nord University,AR6-WG2,NA
Mark,Hemer,NA,LA,M,Australia,Australia,Commonwealth Scientific and Industrial Research Organisation,AR6-WG1,NA
Mark,New,NA,CLA,M,South Africa,South Africa,"African Climate and Development Initiative, University of Cape Town",AR6-WG2,NA
Mark,Pelling,NA,CLA,M,UK,UK,King's College London,AR6-WG2,NA
Marta G.,Rivera-Ferre,NA,RE,F,Spain,Spain,Spanish National Research Council (CSIC),AR6-WG2,NA
Martin,Wild,NA,LA,M,Switzerland,Switzerland,"ETH Zurich, Institute for Atmospheric and Climate Science",AR6-WG1,NA
Martina Angela,Caretta,NA,CLA,F,USA,Sweden,Lund University,AR6-WG2,NA
Masahide,Kimoto,NA,RE,M,Japan,Japan,"Atmosphere and Ocean Research Institute, the University of Tokyo",AR6-WG1,NA
Masahiro,Hashizume,NA,LA,M,Japan,Japan,University of Tokyo,AR6-WG2,NA
Masahiro,Watanabe,NA,LA,M,Japan,Japan,"Atmosphere and Ocean Research Institute, the University of Tokyo",AR6-WG1,NA
Masaki,Satoh,NA,LA,M,Japan,Japan,"Atmosphere and Ocean Research Institute, The University of Tokyo",AR6-WG1,NA
Masao,Ishii,NA,LA,M,Japan,Japan,"Oceanography and Geochemistry Research Department, Meteorological Research Institute, Japan Meteorological Agency",AR6-WG1,NA
Mathew,Barlow,NA,LA,M,USA,USA,University of Massachusetts Lowell,AR6-WG1,NA
Matilde,Rusticucci,NA,LA,F,Argentina,Argentina,Universidad de Buenos Aires,AR6-WG2,NA
Matthew,Palmer,NA,LA,M,UK,UK,Met Office Hadley Centre,AR6-WG1,NA
Mauricio,Domínguez Aguilar,NA,LA,M,Mexico,Mexico,Autonomous University of Yucatán,AR6-WG2,NA
Md.,Arfanuzzaman,NA,LA,M,Bangladesh,Bangladesh,Bangladesh Centre for Advanced Studies,AR6-WG2,NA
Mercedes,Bustamante,NA,LA,F,Brazil,Brazil,University of Brasília,AR6-WG3,NA
Mette,Skern-Mauritzen,NA,LA,F,Norway,Norway,Institute of Marine Research,AR6-WG2,NA
Michael,Grose,NA,LA,M,Australia,Australia,CSIRO Climate Science Centre,AR6-WG1,NA
Michael,Prather,NA,RE,M,USA,USA,University of California Irvine,AR6-WG1,NA
Michael,Sutherland,NA,RE,M,Trinidad and Tobago,Jamaica,University of the West Indies,AR6-WG2,NA
Michael,Wehner,NA,LA,M,USA,USA,Lawrence Berkeley National Laboratory,AR6-WG1,NA
Michelle,Mycoo,NA,CLA,F,Trinidad and Tobago,Trinidad and Tobago,"The Department of Geomatics Engineering & Land Management, the University of the West Indies",AR6-WG2,NA
Mike,Morecroft,NA,Author,M,UK,UK,Natural England,AR6-WG2,NA
Mohammad,Rahimi,NA,LA,M,Iran,Iran,"Faculty of Desert Studies, Semnan University",AR6-WG1,NA
Morgan,Wairiu,NA,CLA,M,Fiji,Solomon Islands,Pacific Centre for Environment and Sustainable Development,AR6-WG2,NA
Mostafa,Jafari,NA,LA,M,Iran,Iran,Macro National Strategic Plan of Climate Change Research AREEO/ and Head of TPS for LFCCs,AR6-WG2,NA
Mouhamadou Bamba,Sylla,NA,LA,M,Rwanda,Senegal,African Institute for Mathematical Sciences (AIMS),AR6-WG1,NA
Muhammad,Adnan,NA,LA,M,Pakistan,Pakistan,"Global Change Impact Studies Centre (GCISC), Ministry of Climate Change (MOCC)",AR6-WG1,NA
Muhammad,Amjad,NA,LA,M,Pakistan,Pakistan,Global Change Impact Studies Centre (GCISC),AR6-WG1,NA
Murat,Türkeş,NA,RE,M,Türkiye,Türkiye,Boğaziçi University - Center for Climate Change and Policy Studies,AR6-WG1,NA
Mykola,Shlapak,NA,LA,M,Ukraine,Ukraine,KT-Energy LLC,AR6-WG3,NA
Nahla,Samargandi,NA,LA,F,Saudi Arabia,Saudi Arabia,King Abdulaziz University,AR6-WG3,NA
Nana Ama Browne,Klutse,NA,LA,F,Ghana,Ghana,"Ghana Space Science and Technology Institute, Ghana Atomic Energy Commission",AR6-WG1,NA
Nares,Chuersuwan,NA,RE,M,Thailand,Thailand,Suranaree University of Technology,AR6-WG1,NA
Nathalie Jeanne Marie,Hilmi,NA,LA,F,Monaco,France,Centre Scientifique de Monaco,AR6-WG2,NA
Nathan P.,Gillett,NA,CLA,M,Canada,Canada,Environment and Climate Change Canada,AR6-WG1,NA
Nicholas,Golledge,NA,LA,M,New Zealand,UK,"Antarctic Research Centre, Victoria University of Wellington",AR6-WG1,NA
Nicholas,Simpson,NA,LA,M,South Africa,Zimbabwe,University of Cape Town,AR6-WG2,NA
Nick,Campbell,NA,RE,M,France,UK,International Chamber of Commerce,AR6-WG3,NA
Nicolas,Bellouin,NA,LA,M,UK,France,"Department of Meteorology, University of Reading",AR6-WG1,NA
Nicolás,Cuvi,NA,LA,M,Ecuador,Ecuador,Latinoamericana de Ciencias Sociales,AR6-WG2,NA
Nigel,Arnell,NA,LA,M,UK,UK,University of Reading,AR6-WG1,NA
Nigel,Tapper,NA,LA,M,Australia,Australia,Monash University,AR6-WG2,NA
Nils Christian,Stenseth,NA,LA,M,Norway,Norway,University of Oslo,AR6-WG2,NA
Nina,Lansbury,NA,LA,F,Australia,Australia,The University of Queensland,AR6-WG2,NA
Nobuo,Mimura,NA,RE,M,Japan,Japan,Ibaraki University,AR6-WG2,NA
Noemí,Chacón,NA,Author,F,Venezuela,Venezuela,Instituto Venezolano de Investigaciones Científicas (IVIC),AR6-WG2,NA
Nokuthula,Dube,NA,LA,F,UK,Zimbabwe,African Energy and Finance Boutique,AR6-WG3,NA
Oksana,Lipka,NA,LA,F,Russia,Russia,YU A. Israel Institute of Global climate and Ecology,AR6-WG2,NA
Olaf,Morgenstern,NA,LA,M,New Zealand,Germany,National Institute of Water and Atmospheric Research (NIWA),AR6-WG1,NA
Olga,Zolina,NA,LA,F,Russia,Russia,P.P.Shirshov Institute of Oceanology RAS and Université Grenoble Alpes,AR6-WG1,NA
Olivia,Warrick,NA,LA,F,New Zealand,New Zealand,"International Federation of Red Cross Red Crescent Societies, Red Cross Red Crescent Climate Centre",AR6-WG2,NA
Ousman,Ndiaye,NA,LA,M,Senegal,Senegal,Senegalese National Civil Aviation and Meteorology (ANACIM),AR6-WG1,NA
Pablo,Peri,NA,LA,M,Argentina,Argentina,CONICET-INTA-Universidad Nacional de la Patagonia Austral,AR6-WG2,NA
Pablo Esteban,Carvajal Sarzosa,NA,LA,M,Germany,Ecuador,International Renewable Energy Agency,AR6-WG3,NA
Pandora,Hope,NA,LA,F,Australia,Australia,Bureau of Meteorology,AR6-WG1,NA
Paola Andrea,Arias Gomez,NA,LA,F,Colombia,Colombia,"Escuela Ambiental, Universidad de Antioquia",AR6-WG1,NA
Pascale,Braconnot,NA,RE,F,France,France,Laboratoire des Sciences du Climat et de l'Environnement / IPSL,AR6-WG1,NA
Patricia Fernanda,Pinho,NA,LA,F,Sweden,Brazil,University of Sao Paulo,AR6-WG2,NA
Patrick,Gonzalez,NA,LA,M,USA,USA,"University of California, Berkeley",AR6-WG2,NA
Patrick,Nunn,NA,LA,M,Australia,Australia,University of the Sunshine Coast,AR6-WG2,NA
Paul,Durack,NA,LA,M,USA,Australia,Lawrence Livermore National Laboratory (Program for Climate Model Diagnosis and Intercomparison),AR6-WG1,NA
Paul,Edwards,NA,LA,M,USA,USA,Stanford University and University of Michigan,AR6-WG1,NA
Paulina,Martinetto,NA,LA,F,Argentina,Argentina,National Council for Research and Technology,AR6-WG2,NA
Pauline,Dube,NA,RE,F,Botswana,Botswana,University of Botswana,AR6-WG2,NA
Paulo Eduardo,Artaxo Netto,NA,LA,M,Brazil,Brazil,University of São Paulo - Institute of Physics,AR6-WG1,NA
Pedro,Scheel Monteiro,NA,CLA,M,South Africa,South Africa,CSIR,AR6-WG1,NA
Peter,Alexander,NA,LA,M,UK,UK,The University of Edinburgh,AR6-WG2,NA
Peter M.,Cox,NA,LA,M,UK,UK,University of Exeter,AR6-WG1,NA
Petra,Schweizer-Ries,NA,LA,F,Germany,Germany,University of Applied Sciences Bochum,AR6-WG3,NA
Philip W.,Boyd,NA,LA,M,Australia,UK,"Institute for Marine and Antarctic Studies, University of Tasmania",AR6-WG2,NA
Philippe,Huybrechts,NA,LA,M,Belgium,Belgium,"Earth System Science & Departement Geografie, Vrije Universiteit Brussel",AR6-WG1,NA
Philippus,Wester,NA,LA,M,Nepal,Netherlands,International Centre for Integrated Mountain Development,AR6-WG2,NA
Piero,Lionello,NA,Author,M,Italy,Italy,Univ. delSalento and CMCC,AR6-WG2,NA
Piers,Forster,NA,CLA,M,UK,UK,University of Leeds,AR6-WG1,NA
Prabir,Patra,NA,LA,M,Japan,India,Japan Agency for Marine-Earth Science and Technology,AR6-WG1,NA
Pramod Kumar,Singh,NA,LA,M,India,India,Institute of Rural Management Anand,AR6-WG2,NA
Preety,Bhandari,NA,LA,F,Philippines,India,Asian Development Bank,AR6-WG3,NA
Prodromos,Zanis,NA,LA,M,Greece,Greece,"Department of Meteorology and Climatology, School of Geology, Aristotle University of Thessaloniki",AR6-WG1,NA
Qiyong,Liu,NA,LA,M,China,China,CHINESE CENTER FOR DISEASE CONTROL AND PREVENTION ( CHINA CDC ),AR6-WG2,NA
Quan,Bai,NA,CLA,M,China,China,"Energy Research Institute of National Development and Reform Commission, China",AR6-WG3,NA
Rachel,Bezner Kerr,NA,CLA,F,USA,Canada,Cornell University,AR6-WG2,NA
Rachel,Warren,NA,LA,F,UK,UK,University of East Anglia,AR6-WG2,NA
Rafiq,Hamdi,NA,LA,M,Belgium,Belgium,Royal Meteorological Institute of Belgium,AR6-WG1,NA
Rajib,Shaw,NA,CLA,M,Japan,Japan,"KEIO UNIVERSITY, Graduate School of Media and Governance",AR6-WG2,NA
Rajiv,Pandey,NA,CLA,M,India,India,Indian Council of Forestry Research & Education (ICFRE); An Government of India Organisation,AR6-WG2,NA
Raman,Sukumar,NA,LA,M,India,India,Indian Institute of Science,AR6-WG2,NA
Raphaël,Jachnik,NA,LA,M,France,France,OECD,AR6-WG3,NA
Rashyd,Zaaboul,NA,LA,M,UAE,Morocco,International Center for Biosaline Agriculture,AR6-WG1,NA
Rawshan,Ara Begum,NA,CLA,F,Australia,Bangladesh,Centre for Corporate Sustainability and Environmental Finance,AR6-WG2,NA
Rebecca,Harris,NA,Author,F,Australia,Australia,University of Tasmania,AR6-WG2,NA
Rein,Haarsma,NA,LA,M,Netherlands,Netherlands,Royal Netherlands Meteorological Institute (KNMI),AR6-WG1,NA
Richard,Allan,NA,LA,M,UK,UK,University of Reading,AR6-WG1,NA
Richard,Dawson,NA,LA,M,UK,UK,Newcastle University,AR6-WG2,NA
Richard,Feely,NA,RE,M,USA,USA,NOAA Pacific marine Environmental Laboratory,AR6-WG1,NA
Richard,Jones,NA,CLA,M,UK,UK,Met Office Hadley Centre,AR6-WG1,NA
Richard,Klein,NA,RE,M,Germany,Netherlands,Stockholm Environment Institute,AR6-WG2,NA
Richard A.,Betts,NA,LA,M,UK,UK,Met Office Hadley Centre and University of Exeter,AR6-WG2,NA
Rita,Adrian,NA,LA,F,Germany,Germany,Leibniz-Institute of Freshwater Ecology and Inland Fisheries,AR6-WG2,NA
Riyanti,Djalante,NA,LA,F,Japan,Indonesia,Kendari City Government,AR6-WG2,NA
Robbert,Biesbroek,NA,CLA,M,Netherlands,Netherlands,Wageningen University & Research; Public Administration and Policy Group,AR6-WG2,NA
Robert,Colman,NA,RE,M,Australia,Australia,Australian Bureau of Meteorology,AR6-WG1,NA
Robert,Kopp,NA,LA,M,USA,USA,Rutgers University,AR6-WG1,NA
Robert,Lempert,NA,CLA,M,USA,USA,RAND,AR6-WG2,NA
Robert,Mcleman,NA,CLA,M,Canada,Canada,"Wilfrid Laurier University, Department of Geography and Environmental Studies",AR6-WG2,NA
Robert,Vautard,NA,CLA,M,France,France,CNRS - Laboratoire des Sciences du Climat et de l'Environnement,AR6-WG1,NA
Roberto,Sánchez Rodríguez,NA,RE,M,Mexico,Mexico,El Colegio de la Frontera Norte,AR6-WG2,NA
Rondrotiana,Barimalala,NA,LA,F,South Africa,Madagascar,"Department of Oceanography, University of Cape Town",AR6-WG1,NA
Roshanka (rwmrjb),Ranasinghe,NA,CLA,M,Netherlands,Sri Lanka,"IHE Delft/University of Twente, The Netherlands",AR6-WG1,NA
Rupa,Mukerji,NA,LA,F,Switzerland,India,Helvetas Swiss Intercooperation,AR6-WG2,NA
Russell,Vose,NA,LA,M,USA,USA,NOAA/NCEI,AR6-WG1,NA
Ruth,Cerezo Mota,NA,LA,F,Mexico,Mexico,UNAM / Laboratory of Engineering and Coastal Processes,AR6-WG1,NA
Ruth,Morgan,NA,LA,F,Australia,Australia,Australian National University,AR6-WG2,NA
Salvador E.,Lluch-Cota,NA,LA,M,Mexico,Mexico,"Center for Biological Research of the Northwest, S.C. (CIBNOR)",AR6-WG2,NA
Samuel,Jaccard,NA,LA,M,Switzerland,Switzerland,"Institute of Geological Sciences and Oeaschger Center for Climate Change Research, University of Bern",AR6-WG1,NA
Sandro,Fuzzi,NA,LA,M,Italy,Italy,Institute of Atmospheric Sciences and Climate - National Research Council,AR6-WG1,NA
Sanjay,Chaturvedi,NA,LA,M,India,India,Panjab University,AR6-WG2,NA
Sarah,Burch,NA,LA,F,Canada,Canada,University of Waterloo,AR6-WG3,NA
Sarah,Cooley,NA,CLA,F,USA,USA,Ocean Conservancy,AR6-WG2,NA
Sawsan,Mustafa,NA,LA,F,Sudan,Sudan,Ministry of Animal Resources /Range and Pasture General Directorate,AR6-WG1,NA
Sebastian,Gerland,NA,LA,M,Norway,Germany,Norwegian Polar Institute,AR6-WG1,NA
Sebastian H.,Mernild,NA,LA,M,Norway,Denmark,University of Southern Denmark,AR6-WG1,NA
Seita,Emori,NA,LA,M,Japan,Japan,"National Institute for Environmental Studies, Japan",AR6-WG1,NA
Seree,Supratid,NA,LA,M,Thailand,Thailand,"Climate Change and Disaster Center, Rangsit U.",AR6-WG2,NA
Sergey,Gulev,NA,CLA,M,Russia,Russia,"P.P. Shirshov Institute of Oceanology, Russian Academy of Sciences",AR6-WG1,NA
Sergio Henrique,Faria,NA,LA,M,Spain,Brazil,BC3 - Basque Centre for Climate Change,AR6-WG1,NA
Sergio M.,Vicente-Serrano,NA,LA,M,Spain,Spain,Spanish National Research Council (Pyrenean Institute of Ecology),AR6-WG1,NA
Seung-ki,Min,NA,LA,M,Republic of Korea,Republic of Korea,Pohang University of Science and Technology,AR6-WG1,NA
Sha,Fu,NA,LA,F,China,China,"Assistant professor, National center for climate change strategy and international cooperation",AR6-WG3,NA
Sharina,Abdul Halim,NA,LA,F,Malaysia,Malaysia,"Institute for Environment and Development, Universiti Kebangsaan Malaysia",AR6-WG2,NA
Sharon,Smith,NA,LA,F,Canada,Canada,"Geological Survey of Canada, Natural Resources Canada",AR6-WG1,NA
Shayne,Mcgregor,NA,LA,M,Australia,Australia,"School of Earth, Amtosphere and Environment, Monash University",AR6-WG1,NA
Sherilee,Harper,NA,LA,F,Canada,Canada,University of Alberta,AR6-WG2,NA
Shin-ichi,Ito,NA,LA,M,Japan,Japan,The University of Tokyo,AR6-WG2,NA
Shobha,Maharaj,NA,Author,F,Trinidad and Tobago,Germany,Terraformation,AR6-WG2,NA
Shubha,Sathyendranath,NA,LA,F,UK,UK,Plymouth Marine Laboratory,AR6-WG1,NA
Silvie,Kreibiehl,NA,CLA,F,Germany,Germany,Frankfurt School - UNEP Collaborating Centre for Climate and Sustainable Energy Finance,AR6-WG3,NA
Simon,Donner,NA,LA,M,Canada,Canada,University of British Columbia,AR6-WG2,NA
Simon,Marsland,NA,RE,M,Australia,Australia,CSIRO Climate Science Centre,AR6-WG1,NA
Simone,Lucatello,NA,CLA,M,Mexico,Mexico,"Instituto de Investigaciones Dr. José Maria Luis Mora, CONACYT",AR6-WG2,NA
Siri H.,Eriksen,NA,LA,F,Norway,Norway,Norwegian University of Life Sciences,AR6-WG2,NA
Sixbert,Mwanga,NA,LA,M,Tanzania,Tanzania,Climate Action Network Tanzania,AR6-WG2,NA
Smail,Khennas,NA,LA,M,UK,Algeria,Energy and climate change: independent consultant,AR6-WG3,NA
So Min,Cheong,NA,LA,F,USA,Republic of Korea,University of Kansas,AR6-WG2,NA
Sönke,Zaehle,NA,LA,M,Germany,Germany,Max Planck Institute for Biogeochemistry,AR6-WG1,NA
Soojeong,Myeong,NA,RE,F,Republic of Korea,Republic of Korea,Korea Environment Institute,AR6-WG2,NA
Sophie,Lewis,NA,LA,F,Australia,Australia,University of New South Wales in Canberra,AR6-WG1,NA
Sophie,Nowicki,NA,LA,F,USA,USA,University at Buffalo,AR6-WG1,NA
Sophie,Szopa,NA,CLA,F,France,France,Laboratoire des Sciences du Climat de l'Environnement (LSCE-IPSL),AR6-WG1,NA
Stefano,Battiston,NA,LA,M,Switzerland,Italy,University of Zurich,AR6-WG3,NA
Stephanie,Henson,NA,LA,F,UK,UK,National Oceanography Centre,AR6-WG1,NA
Stephen,Syampungani,NA,LA,M,Zambia,Zambia,Copperbelt University,AR6-WG1,NA
Steven K.,Rose,NA,LA,M,USA,USA,Electric Power Research Institute,AR6-WG2,NA
Subimal,Ghosh,NA,LA,M,India,India,"Interdisciplinary Program in Climate Studies, Indian Institute of Technology Bombay, Powai",AR6-WG1,NA
Sudarmantobudi,Nugroho,NA,LA,M,Japan,Indonesia,Institute for Global Environmental Strategies-Japan,AR6-WG3,NA
Suraje,Dessai,NA,LA,M,UK,Portugal,University of Leeds,AR6-WG1,NA
Susanna,Corti,NA,LA,F,Italy,Italy,Consiglio Nazionale delle Ricerche (CNR) - Istituto di Scienze dell,AR6-WG1,NA
Svitlana,Krakovska,NA,LA,F,Ukraine,Ukraine,Ukrainian Hydrometeorological Institute,AR6-WG1,NA
Swapna,Panickal,NA,LA,F,India,India,"Centre for Climate Change Research, Indian Institute of Tropical Meteorology, Pune, India",AR6-WG1,NA
Sybren,Drijfhout,NA,LA,M,Netherlands,Netherlands,Royal Netherlands Meteorological Institute,AR6-WG1,NA
Tabea Katharina,Lissner,NA,LA,F,Germany,Germany,Climate Analytics,AR6-WG2,NA
Tae Sung,Cheong,NA,CLA,M,Republic of Korea,Republic of Korea,"Ministry of Interior and Safety, National Disaster Management Institute",AR6-WG2,NA
Taikan,Oki,NA,RE,M,Japan,Japan,The University of Tokyo,AR6-WG2,NA
Taishi,Sugiyama,NA,LA,M,Japan,Japan,The Canon Institute of Global Studies,AR6-WG3,NA
Tamsin,Edwards,NA,LA,F,UK,UK,"Department of Geography, King's College London",AR6-WG1,NA
Tannecia,Stephenson,NA,LA,F,Jamaica,Jamaica,The University of the West Indies,AR6-WG1,NA
Terje,Berntsen,NA,LA,M,Norway,Norway,"University of Oslo, Norway",AR6-WG1,NA
Tetsuzo,Yasunari,NA,RE,M,Japan,Japan,Research Institute for Humanity and Nature,AR6-WG1,NA
Thanh,Ngo-Duc,NA,LA,M,Vietnam,Vietnam,"University of Science and Technology of Hanoi, Vietnam Academy of Science and Technology",AR6-WG1,NA
Thian Yew,Gan,NA,LA,M,Canada,Malaysia,University of Alberta,AR6-WG1,NA
Thomas,Bernauer,NA,LA,M,Switzerland,Switzerland,ETH Zurich,AR6-WG2,NA
Thorsten,Mauritsen,NA,LA,M,Germany,Denmark,Department for Meteorology at Stockholm University,AR6-WG1,NA
Tianjun,Zhou,NA,LA,M,China,China,"Institute of Atmospheric Physics, Chinese Academy of Sciences",AR6-WG1,NA
Timon,Mcphearson,NA,LA,M,USA,USA,Stockholm Resilience Centre,AR6-WG2,NA
Timothy,Osborn,NA,RE,M,UK,UK,University of East Anglia,AR6-WG1,NA
Timothy (tim),Kohler,NA,LA,M,USA,USA,Washington State University,AR6-WG2,NA
Tomas,Halenka,NA,RE,M,Czech Republic,Czech Republic,Charles University,AR6-WG1,NA
Tong,Jiang,NA,RE,M,China,China,National Climate Centre of China Meteorological Administration,AR6-WG2,NA
Tor Arve,Benjaminsen,NA,Author,M,Norway,Norway,Norwegian University of Life Sciences,AR6-WG2,NA
Toshihiro,Hasegawa,NA,CLA,M,Japan,Japan,National Agricultural and Food Research Organization,AR6-WG2,NA
Trude,Storelvmo,NA,CLA,F,Norway,Norway,University of Oslo,AR6-WG1,NA
Tsutomu,Kajino,NA,LA,M,Japan,Japan,TOYOTA CENTRAL R&D LABS INC,AR6-WG3,NA
Uday Bhaskar,Nidumolu,NA,LA,M,Australia,Australia,Commonwealth Scientific and Industrial Research Organisation (CSIRO),AR6-WG2,NA
Unnikrishnan,Alakkat,NA,RE,M,India,India,"Retired Scientist, CSIR-National Institute of Oceanography",AR6-WG1,NA
Vaishali,Naik,NA,CLA,F,USA,USA,GFDL/NOAA,AR6-WG1,NA
Vanesa,Castan Broto,NA,LA,F,UK,Spain,University of Sheffield,AR6-WG2,NA
Venkatachalam,Ramaswamy,NA,RE,M,USA,USA,NOAA/ Geophysical Fluid Dynamics Laboratory,AR6-WG1,NA
Veronika,Eyring,NA,CLA,F,Germany,Germany,"Deutsches Zentrum für Luft- und Raumfahrt e.V. (DLR), Institut für Physik der Atmosphäre, Oberpfaffenhofen; University of Bremen, Institute of Environmental Physics (IUP), Bremen, Germany",AR6-WG1,NA
Veruska,Muccione,NA,LA,F,Switzerland,Switzerland,University of Zurich,AR6-WG2,NA
Victor,Brovkin,NA,RE,M,Germany,Russia,Max Planck Institute for Meteorology,AR6-WG1,NA
Virginie,Duvat,NA,LA,F,France,France,"University of la Rochelle-CNRS, UMR LIENSs 7266",AR6-WG2,NA
Vladimir,Kattsov,NA,RE,M,Russia,Russia,"Voeikov Main Geophysical Observatory, Federal Service for Hydrometeorology and Environmental Monitoring",AR6-WG1,NA
Wafae,Badi,NA,LA,F,Morocco,Morocco,Direction de la Météorologie Nationale (Moroccan Meteorological Service),AR6-WG1,NA
Walter Alberto,Pengue,NA,LA,M,Argentina,Argentina,GEPAMA UNIVERSIDAD DE BUENOS AIRES / ECOLOGIA ICO UNIVERSIDAD DE GENERAL SARMIENTO,AR6-WG3,NA
Wen,Wang,NA,LA,M,China,China,Hohai University,AR6-WG1,NA
Wilfried,Pokam Mba,NA,LA,M,Cameroon,Cameroon,University of Yaounde 1,AR6-WG1,NA
William,Collins,NA,LA,M,UK,UK,University of Reading,AR6-WG1,NA
William,Gutowski,NA,LA,M,USA,USA,Iowa State University,AR6-WG1,NA
William D.,Collins,NA,LA,M,USA,USA,"Lawrence Berkeley Laboratory and University of California, Berkeley",AR6-WG1,NA
Winston,Chow,NA,LA,M,Singapore,Singapore,Singapore Management University,AR6-WG2,NA
Wolfgang,Kiessling,NA,Author,M,Germany,Germany,Friedrich-Alexander-Universität Erlangen-Nürnberg,AR6-WG2,NA
Won-tae,Kwon,NA,LA,F,Republic of Korea,Republic of Korea,APEC Climate Center,AR6-WG1,NA
Xuebin,Zhang,NA,CLA,M,Canada,Canada,Environment and Climate Change Canada,AR6-WG1,NA
Xuefeng,Cui,NA,LA,M,China,China,Beijing Normal University,AR6-WG2,NA
Yakiv,Didukh,NA,RE,M,Ukraine,Ukraine,"M. G. Kholodny Institute of Botany, Nat. Acad. of Sci. of Ukraine<br />International Association for Vegetation Science",AR6-WG2,NA
Yan,Zheng,NA,LA,F,China,China,Chinese Academy of Social Sciences (CASS),AR6-WG2,NA
Yimnang,Golbuu,NA,Author,M,Palau,Palau,Palau International Coral Reef Center,AR6-WG2,NA
Ying,Chen,NA,LA,F,China,China,"Institute for Urban and Environmental Studies (IUE), Chinese Academy of Social Sciences (CASS)",AR6-WG3,NA
Ying,Sun,NA,LA,F,China,China,China Meteorological Administration,AR6-WG1,NA
Yoichi,Ishikawa,NA,LA,M,Japan,Japan,Japan Agency for Marine-Earth Science and Technology,AR6-WG2,NA
Yong,Luo,NA,CLA,M,China,China,"Department of Earth System Science, Tsinghua University",AR6-WG2,NA
Yongqiang,Yu,NA,LA,M,China,China,Institute of Atmospheric Physics,AR6-WG1,NA
Yu,Kosaka,NA,LA,F,Japan,Japan,"Research Center for Advanced Science and Technology, The University of Tokyo",AR6-WG1,NA
Yugo,Kanaya,NA,RE,M,Japan,Japan,Japan Agency for Marine-Earth Science and Technology,AR6-WG1,NA
Yukiko,Hirabayashi,NA,LA,F,Japan,Japan,Shibaura Institute of Technology,AR6-WG2,NA
Yun Seng,Lim,NA,LA,M,Malaysia,Malaysia,Universiti Tunku Abdul Rahman,AR6-WG3,NA
Yunus,Mgaya,NA,LA,M,Tanzania,Tanzania,University of Dar es Salaam,AR6-WG2,NA
Zarrin,Azar,NA,RE,F,Iran,Iran,Ferdowsi University of Mashhad,AR6-WG1,NA
Zbigniew,Klimont,NA,LA,M,Austria,Poland,International Institute for Applied Systems Analysis (IIASA),AR6-WG1,NA
Zbigniew,Kundzewicz,NA,RE,M,Germany,Poland,Polish Academy of Sciences,AR6-WG2,NA
Zelina,Zaiton Ibrahim,NA,CLA,F,Malaysia,Malaysia,University Putra Malaysia,AR6-WG2,NA
Zhibin,Zhang,NA,LA,M,China,China,"Institute of Zoology, Chinese Academy of Sciences",AR6-WG2,NA
Zhiyan,Zuo,NA,LA,F,China,China,Chinese Academy of Meteorological Sciences,AR6-WG1,NA
